id;Comunidades_Autonomas;Provincias;Comarca;SAU;Superficie_HA;Cultivo;Permanota
164;País Vasco;Araba/Álava;Rioja Alavesa;SAU en invernadero o abrigo alto accesible;0;Otros cultivos (incluidos huertos para consumo propio <100 m2);8
165;País Vasco;Araba/Álava;Rioja Alavesa;SAU en invernadero o abrigo alto accesible;0;Semillas y plántulas destinadas a la venta;5
166;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;0;9 Viveros;5
167;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;0;5 Cultivos industriales;5
168;País Vasco;Araba/Álava;Rioja Alavesa;SAU en invernadero o abrigo alto accesible;0;Plantas aromáticas, medicinales y especias así como otras tierras arables;5
169;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;0;9 Otros herbáceos;0
170;País Vasco;Araba/Álava;Rioja Alavesa;SAU en invernadero o abrigo alto accesible;0;Cultivos leñosos / permanentes (incluido viveros);0
171;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;0;3 Raíces y Tubérculos;9
172;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;0;10 Árboles de Navidad;0
173;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;2;3 Frutales originarios de clima templado, de hueso;7
174;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;197;7 Olivar;8
175;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;13353;8 Viñedo;6
176;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;91;4 Cultivos cosechados en verde;6
177;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;3;11 Otros cultivos leñosos;0
178;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;432;Barbechos  (incluye las tierras sembradas para abono en verde);0
179;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;202;2 Pasto intensivo;1
180;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;178;1 Pasto extensivo;1
181;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;6;2 Frutales originarios de clima templado, de pepita;7
182;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;12;6 Frutales de fruto seco;7
183;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;2;Huertos para consumo propio;9
184;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;4;6 Hortalizas, melones y fresas (excluidas semillas y plántulas);9
185;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;244;2 Leguminosas y proteaginosas secas para grano;9
186;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;2362;1 Cereales para grano;9
187;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;150;11 Otros cultivos leñosos;0
188;Castilla - La Mancha;Albacete;Mancha;SAU en invernadero o abrigo alto accesible;0;Flores y plantas ornamentales;2
189;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;0;5 Bayas (excluidas las fresas y bayas silvestres);7
190;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;0;7 Flores y plantas ornamentales (venta como flor cortada, excepto semillas y plántulas);3
191;Castilla - La Mancha;Albacete;Mancha;SAU en invernadero o abrigo alto accesible;0;Otros cultivos (incluidos huertos para consumo propio <100 m2);8
192;Castilla - La Mancha;Albacete;Mancha;SAU en invernadero o abrigo alto accesible;0;Plantas aromáticas, medicinales y especias así como otras tierras arables;5
193;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;0;10 Árboles de Navidad;0
194;Castilla - La Mancha;Albacete;Mancha;SAU en invernadero o abrigo alto accesible;2;Semillas y plántulas destinadas a la venta;5
195;Castilla - La Mancha;Albacete;Mancha;SAU en invernadero o abrigo alto accesible;5;Cultivos leñosos / permanentes (incluido viveros);0
196;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;39;8 Semillas y plántulas destinadas a la venta;3
197;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;7;1 Cítricos;8
198;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;3938;7 Olivar;8
199;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;7;9 Viveros;5
200;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;2866;5 Cultivos industriales;5
201;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;26936;8 Viñedo;6
202;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;2074;4 Cultivos cosechados en verde;6
203;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;5;9 Otros herbáceos;0
204;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;46152;Barbechos  (incluye las tierras sembradas para abono en verde);0
205;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;7648;2 Pasto intensivo;1
206;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;12;3 Pasto no utilizado a efectos de producción;1
207;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;1892;1 Pasto extensivo;1
208;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;8;2 Frutales originarios de clima templado, de pepita;7
209;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;31;3 Frutales originarios de clima templado, de hueso;7
210;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;44;4 Frutales originarios de clima tropical y subtropical;7
211;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;16707;6 Frutales de fruto seco;7
212;Castilla - La Mancha;Albacete;Mancha;SAU en invernadero o abrigo alto accesible;12;Hortalizas, incluidos melones y fresas;9
213;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;3;Huertos para consumo propio;9
214;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;93;3 Raíces y Tubérculos;9
215;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;4404;6 Hortalizas, melones y fresas (excluidas semillas y plántulas);9
216;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;15727;2 Leguminosas y proteaginosas secas para grano;9
217;Castilla - La Mancha;Albacete;Mancha;SAU al aire libre;81734;1 Cereales para grano;9
218;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;912;4 Cultivos cosechados en verde;6
219;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;0;5 Bayas (excluidas las fresas y bayas silvestres);7
220;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;0;8 Semillas y plántulas destinadas a la venta;3
221;Castilla - La Mancha;Albacete;Manchuela;SAU en invernadero o abrigo alto accesible;0;Otros cultivos (incluidos huertos para consumo propio <100 m2);8
222;Castilla - La Mancha;Albacete;Manchuela;SAU en invernadero o abrigo alto accesible;0;Semillas y plántulas destinadas a la venta;5
223;Castilla - La Mancha;Albacete;Manchuela;SAU en invernadero o abrigo alto accesible;0;Plantas aromáticas, medicinales y especias así como otras tierras arables;5
224;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;0;9 Otros herbáceos;0
225;Castilla - La Mancha;Albacete;Manchuela;SAU en invernadero o abrigo alto accesible;0;Cultivos leñosos / permanentes (incluido viveros);0
226;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;0;10 Árboles de Navidad;0
227;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;2;7 Flores y plantas ornamentales (venta como flor cortada, excepto semillas y plántulas);3
228;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;21;1 Cítricos;8
229;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;2938;7 Olivar;8
230;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;27;9 Viveros;5
231;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;669;5 Cultivos industriales;5
232;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;26786;8 Viñedo;6
233;Castilla - La Mancha;Albacete;Manchuela;SAU en invernadero o abrigo alto accesible;0;Flores y plantas ornamentales;2
234;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;96;11 Otros cultivos leñosos;0
235;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;16324;Barbechos  (incluye las tierras sembradas para abono en verde);0
236;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;4201;2 Pasto intensivo;1
237;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;1004;3 Pasto no utilizado a efectos de producción;1
238;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;350;1 Pasto extensivo;1
239;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;10;2 Frutales originarios de clima templado, de pepita;7
240;Castilla - La Mancha;Albacete;Manchuela;SAU al aire libre;129;3 Frutales originarios de clima templado, de hueso;7
